Province,Year,HHI_Score,CGC_Score,CCD_Score,ACC_Score
CAGAYAN,2010,104.238814,0.72168,0.375,25.223016
CAGAYAN,2013,110.94887,0.708425,0.415335,23.609524
CAGAYAN,2016,108.978464,0.696623,0.418006,22.138095
CAGAYAN,2019,112.390175,0.730119,0.385542,16.044444
CAGAYAN,2022,136.445254,0.714926,0.441358,17.844481
CAGAYAN,2025,116.467656,0.700068,0.427184,21.263095
CAMARINES NORTE,2004,126.719599,0.793037,0.205882,7.833333
CAMARINES NORTE,2007,120.915873,0.806704,0.16129,7.416667
CAMARINES NORTE,2010,140.576775,0.740812,0.208333,9.5
CAMARINES NORTE,2013,140.541344,0.7566,0.238806,10.866667
CAMARINES NORTE,2016,139.896937,0.738936,0.25,11.75
CAMARINES NORTE,2019,148.720999,0.743021,0.282609,10.025
CAMARINES NORTE,2022,152.748395,0.737618,0.311594,14.416667
CAMARINES NORTE,2025,161.842749,0.651761,0.328358,11.416667
CAMARINES SUR,2004,48.045694,0.779758,0.214286,28.825
CAMARINES SUR,2007,67.807363,0.727062,0.278788,27.040909
CAMARINES SUR,2010,77.567792,0.742385,0.334184,29.258766
CAMARINES SUR,2013,64.450846,0.773839,0.289406,26.577381
CAMARINES SUR,2016,72.265653,0.749007,0.335979,29.588889
CAMARINES SUR,2019,74.231177,0.7761,0.29771,27.22619
CAMARINES SUR,2022,83.792114,0.792406,0.328283,27.230988
CAMARINES SUR,2025,73.784062,0.752894,0.352941,29.684957
CAMIGUIN,2004,323.859286,0.869432,0.180328,3.833333
CAMIGUIN,2007,300.118906,0.880583,0.152542,4.166667
CAMIGUIN,2010,341.022592,0.869386,0.186441,3.5
CAMIGUIN,2013,327.705113,0.888051,0.169492,3.666667
CAMIGUIN,2016,456.0,0.887816,0.2,3.083333
CAMIGUIN,2019,277.619403,0.862585,0.174603,5.166667
CAMIGUIN,2022,521.875,0.861927,0.209677,4.083333
CAMIGUIN,2025,377.910905,0.853017,0.229508,5.25
CAPIZ,2004,111.504657,0.805372,0.195767,12.5
CAPIZ,2007,130.776029,0.798822,0.241573,12.383333
CAPIZ,2010,138.074074,0.749585,0.311828,15.841667
CAPIZ,2013,153.512397,0.732668,0.308989,13.359524
CAPIZ,2016,188.044922,0.70614,0.374332,13.5
CAPIZ,2019,145.326411,0.676985,0.338798,15.759524
CAPIZ,2022,196.956952,0.753634,0.340206,14.155916
CAPIZ,2025,143.604938,0.774207,0.33871,14.666667
CATANDUANES,2004,245.058845,0.727063,0.336364,7.167857
